# TDC 扫描数据
# 生成时间: 2025-12-10 20:20:18
# Index, Type, ID, Fine, Flag, Coarse, Raw_Hex
# Flag: UP通道标志=1, DOWN通道标志=0
# Coarse: 粗计数低8位 (完整粗计数需结合其他信息)
0,UP,0,3153,1,117,0x0018A375
1,DOWN,0,3301,0,139,0x4019CA8B
2,UP,1,3094,1,117,0x00582D75
3,DOWN,1,3282,0,139,0x4059A48B
4,UP,2,3116,1,117,0x00985975
5,DOWN,2,3310,0,139,0x4099DC8B
6,UP,3,3098,1,117,0x00D83575
7,DOWN,3,3282,0,139,0x40D9A48B
8,UP,4,3094,1,117,0x01182D75
9,DOWN,4,3282,0,139,0x4119A48B
10,UP,5,3065,1,117,0x0157F375
11,DOWN,5,3242,0,139,0x4159548B
12,UP,6,3045,1,117,0x0197CB75
13,DOWN,6,3228,0,139,0x4199388B
14,UP,7,3032,1,117,0x01D7B175
15,DOWN,7,3211,0,139,0x41D9168B
16,UP,8,3001,1,117,0x02177375
17,DOWN,8,3211,0,139,0x4219168B
18,UP,9,3026,1,117,0x0257A575
19,DOWN,9,3185,0,139,0x4258E28B
20,UP,10,3001,1,117,0x02977375
21,DOWN,10,3185,0,139,0x4298E28B
22,UP,11,2981,1,117,0x02D74B75
23,DOWN,11,3170,0,139,0x42D8C48B
24,UP,12,2972,1,117,0x03173975
25,DOWN,12,3145,0,139,0x4318928B
26,UP,13,2936,1,117,0x0356F175
27,DOWN,13,3116,0,139,0x4358588B
28,UP,14,2906,1,117,0x0396B575
29,DOWN,14,3080,0,139,0x4398108B
30,UP,15,2881,1,117,0x03D68375
31,DOWN,15,3058,0,139,0x43D7E48B
32,UP,16,2881,1,117,0x04168375
33,DOWN,16,3044,0,139,0x4417C88B
34,UP,17,2855,1,117,0x04564F75
35,DOWN,17,3044,0,139,0x4457C88B
36,UP,18,2837,1,117,0x04962B75
37,DOWN,18,3021,0,139,0x44979A8B
38,UP,19,2817,1,117,0x04D60375
39,DOWN,19,3001,0,139,0x44D7728B
40,UP,20,2800,1,117,0x0515E175
41,DOWN,20,2982,0,139,0x45174C8B
42,UP,21,2786,1,117,0x0555C575
43,DOWN,21,2965,0,139,0x45572A8B
44,UP,22,2757,1,117,0x05958B75
45,DOWN,22,2934,0,138,0x4596EC8A
46,UP,23,2757,1,117,0x05D58B75
47,DOWN,23,2934,0,138,0x45D6EC8A
48,UP,24,2725,1,117,0x06154B75
49,DOWN,24,2917,0,138,0x4616CA8A
50,UP,25,2725,1,117,0x06554B75
51,DOWN,25,2917,0,138,0x4656CA8A
52,UP,26,2702,1,116,0x06951D74
53,DOWN,26,2867,0,138,0x4696668A
54,UP,27,2680,1,116,0x06D4F174
55,DOWN,27,2867,0,138,0x46D6668A
56,UP,28,2659,1,116,0x0714C774
57,DOWN,28,2829,0,138,0x47161A8A
58,UP,29,2611,1,116,0x07546774
59,DOWN,29,2829,0,138,0x47561A8A
60,UP,30,2637,1,116,0x07949B74
61,DOWN,30,2829,0,138,0x47961A8A
62,UP,31,2594,1,116,0x07D44574
63,DOWN,31,2794,0,138,0x47D5D48A
64,UP,32,2568,1,116,0x08141174
65,DOWN,32,2782,0,138,0x4815BC8A
66,UP,33,2568,1,116,0x08541174
67,DOWN,33,2752,0,138,0x4855808A
68,UP,34,2550,1,116,0x0893ED74
69,DOWN,34,2726,0,138,0x48954C8A
70,UP,35,2527,1,116,0x08D3BF74
71,DOWN,35,2707,0,138,0x48D5268A
72,UP,36,2527,1,116,0x0913BF74
73,DOWN,36,2691,0,138,0x4915068A
74,UP,37,2527,1,116,0x0953BF74
75,DOWN,37,2691,0,138,0x4955068A
76,UP,38,2507,1,116,0x09939774
77,DOWN,38,2670,0,138,0x4994DC8A
78,UP,39,2487,1,116,0x09D36F74
79,DOWN,39,2640,0,138,0x49D4A08A
80,UP,40,2463,1,116,0x0A133F74
81,DOWN,40,2640,0,138,0x4A14A08A
82,UP,41,2445,1,116,0x0A531B74
83,DOWN,41,2640,0,138,0x4A54A08A
84,UP,42,2431,1,116,0x0A92FF74
85,DOWN,42,2617,0,138,0x4A94728A
86,UP,43,2409,1,116,0x0AD2D374
87,DOWN,43,2604,0,138,0x4AD4588A
88,UP,44,2417,1,116,0x0B12E374
89,DOWN,44,2604,0,138,0x4B14588A
90,UP,45,2409,1,116,0x0B52D374
91,DOWN,45,2587,0,138,0x4B54368A
92,UP,46,2386,1,116,0x0B92A574
93,DOWN,46,2554,0,138,0x4B93F48A
94,UP,47,2370,1,116,0x0BD28574
95,DOWN,47,2554,0,138,0x4BD3F48A
96,UP,48,2344,1,116,0x0C125174
97,DOWN,48,2538,0,138,0x4C13D48A
98,UP,49,2323,1,116,0x0C522774
99,DOWN,49,2505,0,138,0x4C53928A
100,UP,50,2293,1,116,0x0C91EB74
101,DOWN,50,2477,0,138,0x4C935A8A
102,UP,51,2277,1,116,0x0CD1CB74
103,DOWN,51,2477,0,138,0x4CD35A8A
104,UP,52,2263,1,116,0x0D11AF74
105,DOWN,52,2460,0,138,0x4D13388A
106,UP,53,2243,1,116,0x0D518774
107,DOWN,53,2443,0,138,0x4D53168A
108,UP,54,2211,1,116,0x0D914774
109,DOWN,54,2409,0,138,0x4D92D28A
110,UP,55,2211,1,116,0x0DD14774
111,DOWN,55,2409,0,138,0x4DD2D28A
112,UP,56,2173,1,116,0x0E10FB74
113,DOWN,56,2359,0,138,0x4E126E8A
114,UP,57,2146,1,116,0x0E50C574
115,DOWN,57,2332,0,138,0x4E52388A
116,UP,58,2146,1,116,0x0E90C574
117,DOWN,58,2332,0,138,0x4E92388A
118,UP,59,2131,1,116,0x0ED0A774
119,DOWN,59,2319,0,138,0x4ED21E8A
120,UP,60,2096,1,116,0x0F106174
121,DOWN,60,2287,0,138,0x4F11DE8A
122,UP,61,2096,1,116,0x0F506174
123,DOWN,61,2269,0,138,0x4F51BA8A
124,UP,62,2069,1,116,0x0F902B74
125,DOWN,62,2257,0,138,0x4F91A28A
126,UP,63,2053,1,116,0x0FD00B74
127,DOWN,63,2241,0,138,0x4FD1828A
128,UP,64,2018,1,116,0x100FC574
129,DOWN,64,2206,0,138,0x50113C8A
130,UP,65,2018,1,116,0x104FC574
131,DOWN,65,2206,0,138,0x50513C8A
132,UP,66,2018,1,116,0x108FC574
133,DOWN,66,2206,0,138,0x50913C8A
134,UP,67,1982,1,116,0x10CF7D74
135,DOWN,67,2206,0,138,0x50D13C8A
136,UP,68,1982,1,116,0x110F7D74
137,DOWN,68,2157,0,138,0x5110DA8A
138,UP,69,1965,1,116,0x114F5B74
139,DOWN,69,2145,0,138,0x5150C28A
140,UP,70,1941,1,116,0x118F2B74
141,DOWN,70,2103,0,138,0x51906E8A
142,UP,71,1910,1,116,0x11CEED74
143,DOWN,71,2103,0,138,0x51D06E8A
144,UP,72,1910,1,116,0x120EED74
145,DOWN,72,2086,0,138,0x52104C8A
146,UP,73,1895,1,116,0x124ECF74
147,DOWN,73,2064,0,138,0x5250208A
148,UP,74,1866,1,116,0x128E9574
149,DOWN,74,2045,0,138,0x528FFA8A
150,UP,75,1866,1,116,0x12CE9574
151,DOWN,75,2027,0,138,0x52CFD68A
152,UP,76,1847,1,116,0x130E6F74
153,DOWN,76,2027,0,138,0x530FD68A
154,UP,77,1824,1,116,0x134E4174
155,DOWN,77,2008,0,138,0x534FB08A
156,UP,78,1765,1,116,0x138DCB74
157,DOWN,78,1992,0,138,0x538F908A
158,UP,79,1791,1,116,0x13CDFF74
159,DOWN,79,1980,0,138,0x53CF788A
160,UP,80,1791,1,116,0x140DFF74
161,DOWN,80,1949,0,138,0x540F3A8A
162,UP,81,1765,1,116,0x144DCB74
163,DOWN,81,1930,0,138,0x544F148A
164,UP,82,1765,1,116,0x148DCB74
165,DOWN,82,1930,0,138,0x548F148A
166,UP,83,1737,1,116,0x14CD9374
167,DOWN,83,1919,0,138,0x54CEFE8A
168,UP,84,1695,1,116,0x150D3F74
169,DOWN,84,1879,0,138,0x550EAE8A
170,UP,85,1664,1,116,0x154D0174
171,DOWN,85,1849,0,138,0x554E728A
172,UP,86,1674,1,116,0x158D1574
173,DOWN,86,1849,0,138,0x558E728A
174,UP,87,1654,1,116,0x15CCED74
175,DOWN,87,1831,0,138,0x55CE4E8A
176,UP,88,1631,1,116,0x160CBF74
177,DOWN,88,1818,0,138,0x560E348A
178,UP,89,1607,1,116,0x164C8F74
179,DOWN,89,1797,0,138,0x564E0A8A
180,UP,90,1607,1,116,0x168C8F74
181,DOWN,90,1776,0,138,0x568DE08A
182,UP,91,1560,1,116,0x16CC3174
183,DOWN,91,1757,0,138,0x56CDBA8A
184,UP,92,1577,1,116,0x170C5374
185,DOWN,92,1741,0,138,0x570D9A8A
186,UP,93,1560,1,116,0x174C3174
187,DOWN,93,1757,0,138,0x574DBA8A
188,UP,94,1534,1,116,0x178BFD74
189,DOWN,94,1710,0,138,0x578D5C8A
190,UP,95,1534,1,116,0x17CBFD74
191,DOWN,95,1710,0,138,0x57CD5C8A
192,UP,96,1499,1,116,0x180BB774
193,DOWN,96,1684,0,138,0x580D288A
194,UP,97,1499,1,116,0x184BB774
195,DOWN,97,1669,0,138,0x584D0A8A
196,UP,98,1465,1,116,0x188B7374
197,DOWN,98,1652,0,138,0x588CE88A
198,UP,99,1442,1,116,0x18CB4574
199,DOWN,99,1624,0,138,0x58CCB08A
200,UP,100,1449,1,116,0x190B5374
201,DOWN,100,1631,0,138,0x590CBE8A
202,UP,101,1402,1,116,0x194AF574
203,DOWN,101,1607,0,138,0x594C8E8A
204,UP,102,1402,1,116,0x198AF574
205,DOWN,102,1561,0,138,0x598C328A
206,UP,103,1383,1,116,0x19CACF74
207,DOWN,103,1561,0,138,0x59CC328A
208,UP,104,1369,1,116,0x1A0AB374
209,DOWN,104,1544,0,138,0x5A0C108A
210,UP,105,1333,1,116,0x1A4A6B74
211,DOWN,105,1483,0,138,0x5A4B968A
212,UP,106,1298,1,116,0x1A8A2574
213,DOWN,106,1483,0,138,0x5A8B968A
214,UP,107,1298,1,116,0x1ACA2574
215,DOWN,107,1483,0,138,0x5ACB968A
216,UP,108,1272,1,116,0x1B09F174
217,DOWN,108,1483,0,138,0x5B0B968A
218,UP,109,1249,1,116,0x1B49C374
219,DOWN,109,1444,0,138,0x5B4B488A
220,UP,110,1272,1,116,0x1B89F174
221,DOWN,110,1444,0,138,0x5B8B488A
222,UP,111,1232,1,116,0x1BC9A174
223,DOWN,111,1425,0,138,0x5BCB228A
